DATE,ID,INDUSTRY,HOUSING1,HOUSING2,HOUSING3,HOUSING4,HOUSING5,HOUSING6,HOUSINGA,HOUSINGB
1968Q4,1,,1.52,1.55,1.57,1.6,1.63,1.64,,
1968Q4,2,,1.52,1.54,1.56,1.56,1.54,1.52,,
1968Q4,3,,1.52,1.5,1.55,1.65,1.75,1.7,,
1968Q4,4,,1.54,1.58,1.6,1.6,1.65,1.67,,
1968Q4,5,,1.52,1.52,1.58,1.5,1.5,1.52,,
1968Q4,6,,1.53,1.53,1.6,1.65,1.65,1.66,,
1968Q4,7,,1.5,1.5,1.5,1.6,1.6,1.7,,
1968Q4,8,,1.5,1.6,1.4,1.5,1.6,1.7,,
1968Q4,9,,1.52,1.55,1.59,1.6,1.6,1.6,,
1968Q4,10,,1.53,1.55,1.6,1.7,1.8,2.0,,
1968Q4,11,,1.5,1.5,1.6,1.7,1.9,2.0,,
1968Q4,12,,1.52,1.49,1.53,1.59,1.63,1.65,,
1968Q4,13,,1.55,1.6,1.65,1.65,1.6,1.65,,
1968Q4,14,,1.55,1.55,1.58,1.65,1.75,1.85,,
1968Q4,15,,1.52,1.5,1.55,1.62,1.72,1.7,,
1968Q4,16,,1.52,1.55,1.5,1.48,1.52,1.58,,
1968Q4,17,,1.52,1.5,1.52,1.53,1.54,1.54,,
1968Q4,18,,1.52,1.53,1.42,1.44,1.49,1.52,,
1968Q4,19,,1.52,1.54,1.53,1.48,1.51,1.54,,
1968Q4,20,,1.52,1.6,1.65,1.7,1.8,1.75,,
1968Q4,21,,1.52,1.6,1.65,1.67,1.69,1.71,,
1968Q4,22,,1.52,1.5,1.51,1.52,1.52,1.53,,
1968Q4,23,,,,,,,,,
1968Q4,24,,1.5,1.5,1.6,1.6,1.7,1.8,,
1968Q4,25,,1.5,1.5,1.6,1.6,1.7,1.7,,
1968Q4,26,,1.52,1.55,1.6,1.65,1.65,1.7,,
1968Q4,27,,1.6,1.6,1.6,1.6,1.6,1.6,,
1968Q4,29,,1.53,1.53,1.55,1.56,1.57,1.55,,
1968Q4,30,,1.5,1.4,1.4,1.5,1.6,1.7,,
1968Q4,31,,1.5,1.6,1.7,1.7,1.8,1.8,,
1968Q4,32,,1.52,1.56,1.58,1.6,1.63,1.65,,
1968Q4,33,,1.52,1.5,1.47,1.52,1.54,1.52,,
1968Q4,34,,1.52,1.5,1.48,1.45,1.5,1.7,,
1968Q4,35,,1.5,1.55,1.55,1.6,1.65,1.65,,
1968Q4,36,,1.53,1.59,1.6,1.61,1.64,1.68,,
1968Q4,37,,1.52,1.55,1.57,1.59,1.64,1.68,,
1968Q4,38,,,,,,,,,
1968Q4,39,,1.5,1.6,1.7,1.7,1.9,1.9,,
1968Q4,40,,1.52,1.47,1.45,1.45,1.45,1.45,,
1968Q4,41,,1.5,1.5,1.53,1.56,1.59,1.6,,
1968Q4,42,,,,,,,,,
1968Q4,43,,1.5,1.4,1.4,1.5,1.4,1.3,,
1968Q4,45,,1.52,1.5,1.5,1.6,1.7,1.75,,
1968Q4,46,,1.52,1.53,1.55,1.6,1.65,1.7,,
1968Q4,47,,1.5,1.6,1.6,1.6,1.7,1.8,,
1968Q4,48,,1.52,1.52,1.55,1.58,1.61,1.64,,
1968Q4,49,,1.52,1.55,1.4,1.5,1.55,1.6,,
1968Q4,50,,1.52,1.4,1.45,1.5,1.65,1.55,,
1968Q4,51,,1.52,1.5,1.52,1.55,1.67,1.75,,
1968Q4,52,,1.53,1.53,1.55,1.6,1.7,1.8,,
1968Q4,53,,1.52,1.5,1.55,1.65,1.8,1.95,,
1968Q4,54,,1.53,1.55,1.6,1.65,1.65,1.6,,
1968Q4,55,,1.52,1.5,1.6,1.7,1.8,1.9,,
1968Q4,56,,1.5,1.5,1.6,1.7,1.7,1.8,,
1968Q4,57,,1.52,1.5,1.45,1.5,1.6,1.7,,
1968Q4,58,,1.52,1.52,1.52,1.58,1.62,1.65,,
1968Q4,59,,1.52,1.52,1.55,1.6,1.65,1.7,,
1968Q4,60,,1.52,1.5,1.55,1.6,1.7,1.7,,
1968Q4,61,,1.52,1.5,1.4,1.45,1.55,1.65,,
1968Q4,62,,1.52,1.55,1.58,1.6,1.61,1.62,,
1968Q4,63,,1.5,1.8,1.45,1.4,1.45,1.45,,
1968Q4,64,,1.52,1.55,1.45,1.45,1.6,1.8,,
1968Q4,65,,1.55,1.55,1.58,1.6,1.62,1.65,,
1968Q4,66,,1.5,1.52,1.59,1.67,1.7,1.72,,
1968Q4,67,,1.52,1.5,1.5,1.6,1.7,1.8,,
1968Q4,68,,1.55,1.5,1.55,1.62,1.7,1.7,,
1968Q4,69,,1.52,1.55,1.6,1.6,1.7,1.75,,
1968Q4,70,,1.52,1.59,1.61,1.63,1.65,1.67,,
1968Q4,71,,1.54,1.54,1.59,1.63,1.66,1.69,,
1968Q4,72,,1.52,1.5,1.52,1.55,1.65,1.75,,
1968Q4,73,,1.52,1.51,1.55,1.6,1.7,1.8,,
1968Q4,74,,1.52,1.52,1.45,1.55,1.6,1.7,,
1968Q4,75,,1.5,1.5,1.5,1.6,1.7,1.8,,
1968Q4,76,,1.5,1.5,1.5,1.6,1.6,1.7,,
1968Q4,77,,,,,,,,,
1968Q4,78,,1.52,1.58,1.6,1.65,1.7,1.8,,
1968Q4,79,,1.5,1.5,1.5,1.6,1.6,1.5,,
1968Q4,80,,1.52,1.5,1.6,1.6,1.7,1.72,,
1968Q4,81,,1.52,1.53,1.55,1.57,1.6,1.63,,
1968Q4,82,,1.52,1.5,1.55,1.6,1.65,1.65,,
1968Q4,83,,,,,,,,,
1968Q4,84,,1.5,1.5,1.5,1.5,1.6,1.6,,
1968Q4,85,,1.52,1.5,1.51,1.56,1.61,1.66,,
1968Q4,86,,1.52,1.55,1.58,1.62,1.66,1.7,,
1968Q4,87,,1.52,1.52,1.5,1.55,1.62,1.72,,
1968Q4,88,,1.55,1.55,1.61,1.64,1.67,1.7,,
1968Q4,89,,,,,,,,,
1969Q1,2,,1.56,1.57,1.57,1.54,1.52,,,
1969Q1,3,,1.55,1.55,1.6,1.62,1.7,,,
1969Q1,4,,1.56,1.48,1.48,1.53,1.58,,,
1969Q1,6,,1.58,1.6,1.65,1.6,1.6,,,
1969Q1,7,,1.6,1.6,1.6,1.6,1.6,,,
1969Q1,8,,1.6,1.4,1.5,1.6,1.7,,,
1969Q1,9,,1.56,1.55,1.6,1.6,1.65,,,
1969Q1,10,,1.56,1.6,1.7,1.8,2.0,,,
1969Q1,15,,1.56,1.55,1.6,1.63,1.7,,,
1969Q1,16,,1.55,1.52,1.5,1.52,1.57,,,
1969Q1,18,,1.56,1.5,1.49,1.5,1.52,,,
1969Q1,21,,1.56,1.55,1.58,1.58,1.6,,,
1969Q1,22,,1.6,1.6,1.6,1.7,1.8,,,
1969Q1,23,,1.6,1.5,1.4,1.5,1.6,,,
