DATE,ID,INDUSTRY,NGDP1,NGDP2,NGDP3,NGDP4,NGDP5,NGDP6,NGDPA,NGDPB
1968Q4,1,,871.0,884.0,895.0,907.0,920.0,938.0,,
1968Q4,2,,871.0,891.0,910.0,929.0,958.0,973.0,,
1968Q4,3,,871.0,883.0,894.0,906.0,924.0,944.0,,
1968Q4,4,,871.0,885.0,891.0,902.0,919.0,937.0,,
1968Q4,5,,871.0,895.0,913.0,935.0,940.0,970.0,,
1968Q4,6,,871.0,885.0,895.0,908.0,910.0,925.0,,
1968Q4,7,,871.0,884.0,895.0,911.0,930.0,949.0,,
1968Q4,8,,871.0,885.0,888.0,900.0,921.0,936.0,,
1968Q4,9,,871.0,883.0,893.0,900.0,912.0,930.0,,
1968Q4,10,,871.0,885.0,895.0,914.0,937.0,957.0,,
1968Q4,11,,871.0,883.0,893.0,902.0,913.0,926.0,,
1968Q4,12,,871.0,882.0,897.0,914.0,934.0,955.0,,
1968Q4,13,,870.0,880.0,890.0,910.0,920.0,935.0,,
1968Q4,14,,871.0,884.0,893.0,904.0,922.0,940.0,,
1968Q4,15,,871.0,884.0,894.0,907.0,924.0,942.0,,
1968Q4,16,,871.0,890.0,900.0,912.0,925.0,945.0,,
1968Q4,17,,871.0,892.0,914.0,937.0,960.0,985.0,,
1968Q4,18,,871.0,891.0,908.0,918.0,934.0,952.0,,
1968Q4,19,,871.0,889.0,899.0,899.0,915.0,933.0,,
1968Q4,20,,871.0,873.0,875.0,880.0,875.0,880.0,,
1968Q4,21,,871.0,886.0,901.0,914.0,929.0,945.0,,
1968Q4,22,,871.0,887.0,898.0,911.0,930.0,949.0,,
1968Q4,23,,871.0,883.0,892.0,905.0,922.0,940.0,,
1968Q4,24,,871.0,884.0,895.0,907.0,925.0,942.0,,
1968Q4,25,,868.0,875.0,885.0,901.0,919.0,935.0,,
1968Q4,26,,871.0,885.0,897.0,910.0,925.0,940.0,,
1968Q4,27,,871.0,885.0,894.0,905.0,922.0,937.0,,
1968Q4,29,,871.0,885.0,891.0,902.0,925.0,940.0,,
1968Q4,30,,871.0,891.0,906.0,915.0,926.0,939.0,,
1968Q4,31,,871.0,885.0,897.0,910.0,932.0,960.0,,
1968Q4,32,,871.0,883.0,892.0,903.0,918.0,934.0,,
1968Q4,33,,871.0,880.0,897.0,924.0,942.0,961.0,,
1968Q4,34,,871.0,885.0,898.0,909.0,923.0,939.0,,
1968Q4,35,,871.0,882.0,889.0,899.0,918.0,936.0,,
1968Q4,36,,871.0,885.0,897.0,909.0,925.0,940.0,,
1968Q4,37,,871.0,888.0,891.0,893.0,896.0,900.0,,
1968Q4,38,,871.0,881.0,890.0,907.0,934.0,959.0,,
1968Q4,39,,871.0,885.0,898.0,912.0,927.0,944.0,,
1968Q4,40,,871.0,887.0,906.0,916.0,926.0,937.0,,
1968Q4,41,,871.0,884.0,898.0,911.0,926.0,946.0,,
1968Q4,42,,871.0,888.0,900.0,915.0,931.0,943.0,,
1968Q4,43,,871.0,890.0,908.0,926.0,941.0,959.0,,
1968Q4,45,,871.0,885.0,900.0,910.0,925.0,940.0,,
1968Q4,46,,871.0,885.0,895.0,906.0,921.0,938.0,,
1968Q4,47,,871.0,886.0,901.0,916.0,935.0,957.0,,
1968Q4,48,,871.0,888.0,903.0,916.0,931.0,947.0,,
1968Q4,49,,871.0,886.0,896.0,903.0,913.0,928.0,,
1968Q4,50,,871.0,885.0,897.0,909.0,924.0,939.0,,
1968Q4,51,,871.0,888.0,902.0,912.0,928.0,948.0,,
1968Q4,52,,871.0,884.0,896.0,910.0,927.0,941.0,,
1968Q4,53,,871.0,884.0,902.0,919.0,933.0,951.0,,
1968Q4,54,,871.0,885.0,895.0,905.0,922.0,938.0,,
1968Q4,55,,871.0,886.0,902.0,915.0,932.0,952.0,,
1968Q4,56,,871.0,885.0,902.0,918.0,936.0,955.0,,
1968Q4,57,,871.0,885.0,895.0,905.0,915.0,925.0,,
1968Q4,58,,871.0,886.0,892.0,904.0,923.0,939.0,,
1968Q4,59,,871.0,885.0,897.0,911.0,928.0,947.0,,
1968Q4,60,,871.0,881.0,890.0,898.0,915.0,930.0,,
1968Q4,61,,871.0,888.0,902.0,914.0,928.0,944.0,,
1968Q4,62,,871.0,885.0,896.0,909.0,926.0,946.0,,
1968Q4,63,,871.0,880.0,900.0,910.0,915.0,920.0,,
1968Q4,64,,871.0,890.0,902.0,906.0,911.0,925.0,,
1968Q4,65,,871.0,886.0,897.0,910.0,924.0,937.0,,
1968Q4,66,,871.0,887.0,902.0,917.0,934.0,950.0,,
1968Q4,67,,871.0,886.0,899.0,910.0,925.0,942.0,,
1968Q4,68,,871.0,880.0,890.0,901.0,918.0,932.0,,
1968Q4,69,,871.0,885.0,895.0,900.0,900.0,880.0,,
1968Q4,70,,871.0,884.0,892.0,899.0,915.0,932.0,,
1968Q4,71,,871.0,883.0,894.0,905.0,920.0,937.0,,
1968Q4,72,,871.0,886.0,898.0,910.0,925.0,945.0,,
1968Q4,73,,871.0,885.0,896.0,908.0,926.0,944.0,,
1968Q4,74,,871.0,885.0,902.0,914.0,928.0,946.0,,
1968Q4,75,,871.0,878.0,890.0,902.0,915.0,931.0,,
1968Q4,76,,871.0,889.0,905.0,917.0,930.0,944.0,,
1968Q4,77,,871.0,876.0,885.0,892.0,904.0,910.0,,
1968Q4,78,,871.0,887.0,900.0,915.0,932.0,952.0,,
1968Q4,79,,871.0,880.0,882.0,885.0,880.0,885.0,,
1968Q4,80,,871.0,885.0,895.0,907.0,920.0,936.0,,
1968Q4,81,,871.0,883.0,893.0,904.0,922.0,942.0,,
1968Q4,82,,871.0,880.0,892.0,904.0,924.0,944.0,,
1968Q4,83,,870.0,885.0,899.0,913.0,928.0,940.0,,
1968Q4,84,,871.0,882.0,897.0,912.0,928.0,945.0,,
1968Q4,85,,871.0,879.0,885.0,900.0,918.0,933.0,,
1968Q4,86,,871.0,883.0,890.0,900.0,921.0,941.0,,
1968Q4,87,,870.0,890.0,906.0,918.0,933.0,948.0,,
1968Q4,88,,871.0,887.0,902.0,919.0,937.0,951.0,,
1968Q4,89,,871.0,886.0,896.0,906.0,918.0,928.0,,
1969Q1,2,,888.0,904.0,924.0,946.0,964.0,,,
1969Q1,3,,888.0,899.0,908.0,924.0,944.0,,,
1969Q1,4,,888.0,899.0,904.0,915.0,930.0,,,
1969Q1,6,,888.0,903.0,913.0,920.0,935.0,,,
1969Q1,7,,888.0,905.0,921.0,937.0,952.0,,,
1969Q1,8,,888.0,897.0,908.0,927.0,949.0,,,
1969Q1,9,,888.0,902.0,912.0,924.0,940.0,,,
1969Q1,10,,888.0,900.0,914.0,935.0,951.0,,,
1969Q1,15,,887.0,901.0,911.0,927.0,944.0,,,
1969Q1,16,,887.0,900.0,912.0,925.0,945.0,,,
1969Q1,18,,888.0,901.0,908.0,914.0,924.0,,,
1969Q1,21,,888.0,905.0,916.0,928.0,942.0,,,
1969Q1,22,,888.0,900.0,910.0,930.0,950.0,,,
1969Q1,23,,888.0,902.0,915.0,927.0,942.0,,,
1969Q1,26,,888.0,906.0,924.0,940.0,956.0,,,
1969Q1,28,,,,,,,,,
1969Q1,29,,888.0,898.0,912.0,929.0,940.0,,,
1969Q1,30,,888.0,903.0,914.0,924.0,938.0,,,
1969Q1,31,,888.0,897.0,910.0,932.0,960.0,,,
1969Q1,32,,888.0,898.0,907.0,924.0,943.0,,,
1969Q1,37,,888.0,891.0,896.0,913.0,920.0,,,
1969Q1,38,,885.0,894.0,908.0,933.0,958.0,,,
1969Q1,39,,888.0,903.0,918.0,933.0,948.0,,,
1969Q1,40,,888.0,906.0,917.0,927.0,938.0,,,
1969Q1,41,,887.0,901.0,915.0,926.0,945.0,,,
1969Q1,42,,888.0,902.0,917.0,929.0,941.0,,,
1969Q1,43,,888.0,908.0,926.0,941.0,959.0,,,
1969Q1,44,,888.0,902.0,913.0,922.0,932.0,,,
1969Q1,46,,888.0,898.0,908.0,924.0,942.0,,,
1969Q1,48,,888.0,900.0,908.0,922.0,942.0,,,
1969Q1,49,,888.0,901.0,908.0,919.0,934.0,,,
1969Q1,50,,888.0,898.0,908.0,916.0,928.0,,,
1969Q1,51,,888.0,905.0,913.0,927.0,945.0,,,
1969Q1,52,,888.0,900.0,912.0,927.0,941.0,,,
1969Q1,53,,888.0,905.0,921.0,934.0,952.0,,,
1969Q1,54,,888.0,906.0,922.0,937.0,950.0,,,
1969Q1,57,,888.0,898.0,909.0,921.0,932.0,,,
1969Q1,58,,888.0,896.0,904.0,925.0,939.0,,,
1969Q1,59,,888.0,901.0,914.0,931.0,947.0,,,
1969Q1,60,,888.0,902.0,912.0,922.0,936.0,,,
1969Q1,61,,888.0,904.0,917.0,931.0,942.0,,,
1969Q1,62,,885.0,896.0,909.0,926.0,946.0,,,
1969Q1,64,,888.0,905.0,910.0,914.0,928.0,,,
1969Q1,65,,888.0,901.0,910.0,925.0,941.0,,,
1969Q1,66,,887.0,902.0,917.0,934.0,950.0,,,
1969Q1,67,,888.0,903.0,914.0,929.0,946.0,,,
1969Q1,69,,888.0,895.0,900.0,900.0,880.0,,,
1969Q1,70,,888.0,900.0,912.0,924.0,936.0,,,
1969Q1,72,,888.0,905.0,915.0,925.0,940.0,,,
1969Q1,73,,888.0,898.0,909.0,926.0,944.0,,,
