DATE,ID,INDUSTRY,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
1968Q4,1,,0.0,10.0,10.0,10.0,0.0
1968Q4,2,,0.0,0.0,0.0,0.0,0.0
1968Q4,3,,0.0,50.0,40.0,10.0,0.0
1968Q4,4,,0.0,50.0,30.0,10.0,10.0
1968Q4,5,,10.0,20.0,50.0,10.0,10.0
1968Q4,6,,0.0,0.0,10.0,20.0,0.0
1968Q4,7,,0.0,2.0,5.0,5.0,5.0
1968Q4,8,,0.0,75.0,25.0,0.0,0.0
1968Q4,9,,1.0,10.0,20.0,25.0,25.0
1968Q4,10,,0.0,25.0,25.0,0.0,0.0
1968Q4,11,,10.0,10.0,20.0,5.0,2.0
1968Q4,12,,10.0,20.0,20.0,10.0,10.0
1968Q4,13,,0.0,5.0,10.0,10.0,10.0
1968Q4,14,,0.0,5.0,10.0,5.0,5.0
1968Q4,15,,0.0,40.0,25.0,0.0,0.0
1968Q4,16,,0.0,20.0,50.0,50.0,20.0
1968Q4,17,,0.0,0.0,0.0,10.0,25.0
1968Q4,18,,0.0,10.0,30.0,10.0,0.0
1968Q4,19,,2.0,10.0,30.0,10.0,2.0
1968Q4,20,,0.0,0.0,0.0,0.0,0.0
1968Q4,21,,0.0,0.0,10.0,20.0,20.0
1968Q4,22,,0.0,20.0,10.0,0.0,0.0
1968Q4,23,,0.0,0.0,0.0,0.0,0.0
1968Q4,24,,10.0,25.0,25.0,15.0,15.0
1968Q4,25,,0.0,25.0,10.0,0.0,0.0
1968Q4,26,,0.0,5.0,10.0,10.0,10.0
1968Q4,27,,0.0,0.0,0.0,0.0,0.0
1968Q4,29,,0.0,75.0,25.0,0.0,0.0
1968Q4,30,,0.0,20.0,50.0,30.0,5.0
1968Q4,31,,10.0,20.0,20.0,10.0,10.0
1968Q4,32,,0.0,33.0,33.0,10.0,0.0
1968Q4,33,,10.0,0.0,15.0,10.0,10.0
1968Q4,34,,0.0,10.0,20.0,0.0,0.0
1968Q4,35,,0.0,30.0,20.0,5.0,0.0
1968Q4,36,,0.0,20.0,25.0,15.0,10.0
1968Q4,37,,2.0,10.0,20.0,15.0,15.0
1968Q4,38,,0.0,20.0,10.0,0.0,0.0
1968Q4,39,,80.0,80.0,30.0,10.0,10.0
1968Q4,40,,0.0,0.0,10.0,10.0,10.0
1968Q4,41,,50.0,60.0,75.0,50.0,60.0
1968Q4,42,,0.0,0.0,0.0,0.0,0.0
1968Q4,43,,0.0,0.0,0.0,10.0,10.0
1968Q4,45,,0.0,30.0,40.0,25.0,20.0
1968Q4,46,,5.0,40.0,40.0,20.0,15.0
1968Q4,47,,0.0,0.0,0.0,0.0,0.0
1968Q4,48,,1.0,10.0,18.0,12.0,8.0
1968Q4,49,,0.0,20.0,50.0,10.0,10.0
1968Q4,50,,5.0,20.0,20.0,5.0,3.0
1968Q4,51,,0.0,0.0,10.0,0.0,0.0
1968Q4,52,,,,,,
1968Q4,53,,0.0,15.0,15.0,0.0,0.0
1968Q4,54,,0.0,1.0,2.0,5.0,1.0
1968Q4,55,,0.0,20.0,30.0,20.0,20.0
1968Q4,56,,0.0,0.0,0.0,0.0,0.0
1968Q4,57,,5.0,40.0,50.0,30.0,20.0
1968Q4,58,,1.0,60.0,10.0,5.0,5.0
1968Q4,59,,0.0,10.0,5.0,15.0,15.0
1968Q4,60,,0.0,20.0,30.0,0.0,0.0
1968Q4,61,,0.0,5.0,5.0,10.0,10.0
1968Q4,62,,0.0,0.0,0.0,0.0,0.0
1968Q4,63,,0.0,0.0,5.0,0.0,0.0
1968Q4,64,,0.0,35.0,90.0,90.0,40.0
1968Q4,65,,0.0,5.0,1.0,5.0,5.0
1968Q4,66,,0.0,0.0,0.0,0.0,0.0
1968Q4,67,,0.0,0.0,75.0,0.0,0.0
1968Q4,68,,0.0,20.0,20.0,15.0,5.0
1968Q4,69,,0.0,5.0,10.0,25.0,33.0
1968Q4,70,,0.0,15.0,0.0,0.0,0.0
1968Q4,71,,0.0,0.0,0.0,10.0,10.0
1968Q4,72,,0.0,5.0,10.0,10.0,15.0
