DATE,ID,INDUSTRY,RGDP1,RGDP2,RGDP3,RGDP4,RGDP5,RGDP6,RGDPA,RGDPB,RGDPC,RGDPD
1968Q4,1,,713.9344,718.6992,721.7742,725.6,736.0,744.4444,,,,
1968Q4,2,,713.9344,724.3902,733.871,749.1935,766.4,772.2222,,,,
1968Q4,3,,,,,,,,,,,
1968Q4,4,,713.9344,719.5122,718.5484,721.6,729.3651,737.7953,,,,
1968Q4,5,,713.9344,721.7742,730.4,742.0635,746.0317,763.7795,,,,
1968Q4,6,,713.9344,713.7097,721.7742,726.4,722.2222,734.127,,,,
1968Q4,7,,713.9344,718.6992,716.0,723.0159,732.2835,747.2441,,,,
1968Q4,8,,713.9344,719.5122,716.129,720.0,730.9524,737.0079,,,,
1968Q4,9,,713.9344,717.8862,714.4,714.2857,718.1102,726.5625,,,,
1968Q4,10,,713.9344,719.5122,721.7742,731.2,743.6508,753.5433,,,,
1968Q4,11,,713.9344,717.8862,714.4,715.873,724.6032,729.1339,,,,
1968Q4,12,,713.9344,717.0732,723.3871,731.2,741.2698,751.9685,,,,
1968Q4,13,,713.1148,715.4472,717.7419,728.0,736.0,742.0635,,,,
1968Q4,14,,713.9344,718.6992,720.1613,723.2,731.746,740.1575,,,,
1968Q4,15,,713.9344,718.6992,720.9677,725.6,733.3333,741.7323,,,,
1968Q4,16,,713.9344,717.7419,725.8065,729.6,734.127,750.0,,,,
1968Q4,17,,713.9344,725.2033,737.0968,749.6,761.9048,775.5906,,,,
1968Q4,18,,713.9344,724.3902,738.2114,746.3415,759.3496,767.7419,,,,
1968Q4,19,,713.9344,722.7642,725.0,725.0,732.0,746.4,,,,
1968Q4,20,,713.9344,709.7561,723.1405,733.3333,735.2941,727.2727,,,,
1968Q4,21,,713.9344,720.3252,720.8,725.3968,731.4961,738.2813,,,,
1968Q4,22,,713.9344,715.3226,724.1935,728.8,738.0952,747.2441,,,,
1968Q4,23,,713.9344,717.8862,719.3548,724.0,731.746,746.0317,,,,
1968Q4,24,,713.9344,718.6992,721.7742,725.6,734.127,741.7323,,,,
1968Q4,25,,711.4754,705.6452,713.7097,720.8,729.3651,736.2205,,,,
1968Q4,26,,713.9344,719.5122,723.3871,728.0,734.127,740.1575,,,,
1968Q4,27,,713.9344,719.5122,720.9677,724.0,731.746,737.7953,,,,
1968Q4,29,,713.9344,719.5122,718.5484,721.6,734.127,740.1575,,,,
1968Q4,30,,713.9344,718.5484,724.8,726.1905,729.1339,733.5938,,,,
1968Q4,31,,713.9344,719.5122,723.3871,733.871,745.6,761.9048,,,,
1968Q4,32,,713.9344,717.8862,719.3548,722.4,728.5714,735.4331,,,,
1968Q4,33,,713.9344,709.6774,717.6,739.2,747.619,756.6929,,,,
1968Q4,34,,713.9344,719.5122,724.1935,727.2,732.5397,739.3701,,,,
1968Q4,35,,,,,,,,,,,
1968Q4,36,,713.9344,719.5122,723.3871,727.2,734.127,740.1575,,,,
1968Q4,37,,713.9344,727.8689,724.3902,720.1613,716.8,720.0,,,,
1968Q4,38,,713.9344,716.2602,717.7419,725.6,741.2698,755.1181,,,,
1968Q4,39,,713.9344,719.5122,724.1935,729.6,735.7143,743.3071,,,,
1968Q4,40,,,,,,,,,,,
1968Q4,41,,713.9344,718.6992,724.1935,728.8,734.9206,744.8819,,,,
1968Q4,42,,713.9344,721.9512,725.8065,732.0,738.8889,748.4127,,,,
1968Q4,43,,713.9344,723.5772,732.2581,740.8,746.8254,755.1181,,,,
1968Q4,45,,713.9344,719.5122,725.8065,728.0,734.127,746.0317,,,,
1968Q4,46,,713.9344,713.7097,716.0,719.0476,725.1969,738.5827,,,,
1968Q4,47,,713.9344,714.5161,720.8,726.9841,736.2205,747.6563,,,,
1968Q4,48,,713.9344,721.9512,728.2258,732.8,738.8889,751.5873,,,,
1968Q4,49,,713.9344,714.5161,716.8,716.6667,718.8976,725.0,,,,
1968Q4,50,,713.9344,719.5122,723.3871,727.2,733.3333,739.3701,,,,
1968Q4,51,,713.9344,716.129,721.6,723.8095,730.7087,740.625,,,,
1968Q4,52,,713.9344,718.6992,722.5806,728.0,735.7143,740.9449,,,,
1968Q4,53,,713.9344,712.9032,721.6,729.3651,734.6457,742.9688,,,,
1968Q4,54,,713.9344,713.7097,716.0,718.254,725.9843,732.8125,,,,
1968Q4,55,,713.9344,714.5161,721.6,726.1905,733.8583,743.75,,,,
1968Q4,56,,713.9344,713.7097,715.873,722.8346,731.25,740.3101,,,,
1968Q4,57,,713.9344,713.7097,721.7742,718.254,726.1905,722.6563,,,,
1968Q4,58,,713.9344,720.3252,719.3548,723.2,732.5397,739.3701,,,,
1968Q4,59,,713.9344,713.7097,723.3871,728.8,736.5079,745.6693,,,,
1968Q4,60,,713.9344,716.2602,717.7419,718.4,726.1905,726.5625,,,,
1968Q4,61,,713.9344,721.9512,727.4194,731.2,736.5079,749.2063,,,,
1968Q4,62,,713.9344,719.5122,722.5806,727.2,734.9206,744.8819,,,,
1968Q4,63,,713.9344,709.6774,720.0,722.2222,720.4724,718.75,,,,
1968Q4,64,,713.9344,717.7419,721.6,719.0476,717.3228,728.3465,,,,
1968Q4,65,,713.9344,720.3252,723.3871,722.2222,733.3333,737.7953,,,,
1968Q4,66,,713.9344,721.1382,727.4194,727.7778,735.4331,742.1875,,,,
1968Q4,67,,713.9344,714.5161,719.2,722.2222,728.3465,735.9375,,,,
1968Q4,68,,713.9344,715.4472,717.7419,720.8,728.5714,733.8583,,,,
1968Q4,69,,713.9344,719.5122,721.7742,725.8065,725.8065,709.6774,,,,
1968Q4,70,,713.9344,712.9032,713.6,719.2,726.1905,733.8583,,,,
1968Q4,71,,,,,,,,,,,
1968Q4,72,,713.9344,714.5161,718.4,722.2222,728.3465,738.2813,,,,
1968Q4,73,,713.9344,719.5122,722.5806,726.4,734.9206,743.3071,,,,
1968Q4,74,,713.9344,713.7097,721.6,725.3968,730.7087,739.0625,,,,
1968Q4,75,,713.9344,713.8211,717.7419,721.6,726.1905,733.0709,,,,
1968Q4,76,,713.9344,722.7642,729.8387,733.6,738.0952,743.3071,,,,
1968Q4,77,,713.9344,712.1951,719.5122,725.2033,734.9593,739.8374,,,,
1968Q4,78,,713.9344,715.3226,720.0,726.1905,733.8583,743.75,,,,
1968Q4,79,,713.9344,715.4472,711.2903,708.0,698.4127,696.8504,,,,
1968Q4,80,,713.9344,719.5122,721.7742,725.6,736.0,742.8571,,,,
1968Q4,81,,713.9344,717.8862,720.1613,723.2,731.746,741.7323,,,,
1968Q4,82,,713.9344,715.4472,719.3548,723.2,733.3333,749.2063,,,,
1968Q4,83,,713.1148,719.5122,725.0,730.4,736.5079,740.1575,,,,
1968Q4,84,,713.9344,711.2903,717.6,723.8095,730.7087,738.2813,,,,
1968Q4,85,,713.9344,708.871,708.0,714.2857,722.8346,728.9063,,,,
1968Q4,86,,713.9344,712.0968,712.0,714.2857,730.9524,740.9449,,,,
1968Q4,87,,713.1148,717.7419,707.8125,728.5714,734.6457,740.625,,,,
1968Q4,88,,713.9344,721.1382,727.4194,735.2,743.6508,748.8189,,,,
1968Q4,89,,713.9344,720.3252,722.5806,724.8,728.5714,730.7087,,,,
1969Q1,2,,716.129,723.2,733.3333,744.8819,753.125,,,,,
1969Q1,3,,721.9512,719.2,726.4,727.5591,737.5,,,,,
1969Q1,4,,721.9512,725.0,723.2,726.1905,732.2835,,,,,
1969Q1,6,,716.129,728.2258,730.4,730.1587,742.0635,,,,,
1969Q1,7,,716.129,724.0,730.9524,737.7953,749.6063,,,,,
1969Q1,8,,716.129,717.6,720.6349,729.9213,741.4063,,,,,
1969Q1,9,,721.9512,721.6,723.8095,727.5591,734.375,,,,,
1969Q1,10,,716.129,720.0,725.3968,736.2205,748.8189,,,,,
1969Q1,15,,703.9683,709.4488,711.7188,718.6047,726.1538,,,,,
1969Q1,16,,721.1382,725.8065,729.6,740.0,750.0,,,,,
1969Q1,18,,721.9512,720.8,726.4,725.3968,733.3333,,,,,
1969Q1,21,,721.9512,724.0,726.9841,730.7087,735.9375,,,,,
1969Q1,22,,716.129,720.0,728.0,738.0952,748.0315,,,,,
1969Q1,23,,721.9512,727.4194,732.0,735.7143,747.619,,,,,
1969Q1,26,,721.9512,730.6452,739.2,746.0317,752.7559,,,,,
1969Q1,28,,,,,,,,,,,
1969Q1,29,,721.9512,718.4,723.8095,731.4961,734.375,,,,,
1969Q1,30,,716.129,722.4,725.3968,727.5591,732.8125,,,,,
1969Q1,31,,721.9512,723.3871,733.871,745.6,761.9048,,,,,
1969Q1,32,,721.9512,724.1935,725.6,733.3333,748.4127,,,,,
1969Q1,37,,721.9512,724.3902,722.5806,730.4,736.0,,,,,
1969Q1,38,,713.7097,720.9677,726.4,740.4762,754.3307,,,,,
1969Q1,39,,721.9512,728.2258,734.4,740.4762,746.4567,,,,,
1969Q1,40,,,,,,,,,,,
1969Q1,41,,715.3226,726.6129,732.0,734.9206,744.0945,,,,,
1969Q1,42,,716.129,721.6,733.6,737.3016,740.9449,,,,,
1969Q1,43,,721.9512,732.2581,740.8,746.8254,755.1181,,,,,
1969Q1,44,,721.9512,721.6,724.6032,725.9843,728.125,,,,,
1969Q1,46,,716.129,718.4,720.6349,733.3333,741.7323,,,,,
1969Q1,48,,721.9512,725.8065,726.4,737.6,747.619,,,,,
1969Q1,49,,716.129,720.8,720.6349,723.622,729.6875,,,,,
1969Q1,50,,721.9512,724.1935,726.4,726.9841,730.7087,,,,,
1969Q1,51,,716.129,724.0,724.6032,729.9213,738.2813,,,,,
1969Q1,52,,721.9512,720.0,723.8095,729.9213,740.9449,,,,,
1969Q1,53,,716.129,724.0,730.9524,735.4331,743.75,,,,,
1969Q1,54,,721.9512,724.8,731.746,737.7953,742.1875,,,,,
1969Q1,57,,716.129,718.4,721.4286,725.1969,728.125,,,,,
1969Q1,58,,716.129,716.8,723.2,734.127,739.3701,,,,,
1969Q1,59,,721.9512,726.6129,731.2,738.8889,745.6693,,,,,
1969Q1,60,,716.129,721.6,723.8095,731.746,731.25,,,,,
1969Q1,61,,721.9512,723.2,727.7778,733.0709,735.9375,,,,,
1969Q1,62,,719.5122,722.5806,727.2,734.9206,744.8819,,,,,
1969Q1,64,,721.9512,724.0,728.0,725.3968,730.7087,,,,,
1969Q1,65,,721.9512,720.8,722.2222,728.3465,735.1563,,,,,
1969Q1,66,,721.1382,721.6,727.7778,735.4331,742.1875,,,,,
1969Q1,67,,716.129,722.4,725.3968,731.4961,739.0625,,,,,
1969Q1,69,,721.9512,721.7742,725.8065,720.0,704.0,,,,,
1969Q1,70,,716.129,720.0,723.8095,727.5591,731.25,,,,,
1969Q1,72,,716.129,724.0,732.0,734.127,740.1575,,,,,
1969Q1,73,,716.129,718.4,721.4286,729.1339,743.3071,,,,,
1969Q1,74,,716.129,720.0,720.6349,727.5591,735.9375,,,,,
1969Q1,77,,716.129,712.0,720.0,726.1905,728.3465,,,,,
1969Q1,78,,716.129,721.6,732.0,738.0952,753.9683,,,,,
1969Q1,79,,716.129,721.6,724.6032,728.3465,732.8125,,,,,
1969Q1,81,,721.9512,720.0,728.8,736.5079,744.0945,,,,,
1969Q1,84,,721.9512,725.8065,729.6,733.3333,737.0079,,,,,
1969Q1,85,,716.129,718.4,724.6032,729.1339,735.9375,,,,,
1969Q1,89,,721.9512,720.0,724.6032,727.5591,725.7813,,,,,
1969Q1,90,,716.129,720.0,722.2222,733.3333,742.5197,,,,,
1969Q1,91,,716.129,720.0,723.8095,727.5591,737.0079,,,,,
1969Q1,92,,721.9512,716.0,715.873,722.0472,732.0313,,,,,
1969Q1,93,,,,,,,,,,,
1969Q1,94,,716.129,721.6,724.6032,732.2835,739.8438,,,,,
1969Q1,95,,,,,,,,,,,
1969Q1,96,,716.129,724.0,730.1587,735.4331,739.0625,,,,,
1969Q2,1,,722.4,726.1905,729.9213,739.0625,749.6124,,,,,
1969Q2,3,,722.4,726.1905,726.5625,731.0078,737.6923,,,,,
1969Q2,4,,722.4,726.1905,731.4961,732.8125,735.6589,,,,,
1969Q2,6,,722.4,726.9841,740.0,738.0952,739.6825,,,,,
1969Q2,8,,722.4,728.5714,732.2835,733.5938,737.9845,,,,,
1969Q2,9,,722.4,723.8095,727.5591,731.25,736.4341,,,,,
1969Q2,10,,722.4,729.3651,737.0079,742.9688,746.5116,,,,,
1969Q2,13,,721.6,733.6,738.0952,740.1575,748.0315,,,,,
1969Q2,15,,723.2,726.1905,728.3465,732.8125,738.7597,,,,,
1969Q2,16,,722.4,725.3968,725.9843,732.2835,734.375,,,,,
1969Q2,18,,722.4,726.9841,730.7087,732.0313,735.6589,,,,,
1969Q2,21,,722.4,729.3651,735.4331,731.7829,732.3077,,,,,
1969Q2,23,,722.4,734.4,738.8889,743.3071,750.7813,,,,,
1969Q2,26,,722.4,725.1969,732.8125,751.9685,763.7795,,,,,
1969Q2,27,,722.4,729.3651,732.2835,732.8125,,,,,,
1969Q2,28,,722.4,719.0476,716.5354,714.0625,710.0775,,,,,
1969Q2,30,,722.4,727.7778,731.4961,733.5938,737.2093,,,,,
1969Q2,31,,722.4,732.0,739.6825,755.9055,767.7165,,,,,
1969Q2,32,,722.4,732.8,736.5079,739.3701,744.5313,,,,,
1969Q2,33,,722.4,722.8346,726.5625,735.9375,739.5349,,,,,
1969Q2,35,,722.4,727.7778,736.5079,739.3701,751.1811,,,,,
1969Q2,38,,722.4,726.9841,734.6457,735.9375,743.75,,,,,
1969Q2,40,,,,,,,,,,,
1969Q2,41,,722.4,727.7778,729.9213,737.7953,738.2813,,,,,
1969Q2,42,,722.4,735.2,737.0079,747.2441,750.7813,,,,,
1969Q2,43,,722.4,732.0,734.9206,748.0315,755.1181,,,,,
1969Q2,45,,722.4,727.7778,731.4961,744.0945,753.9063,,,,,
1969Q2,46,,722.4,727.7778,730.7087,732.8125,734.8837,,,,,
1969Q2,47,,722.4,729.3651,735.4331,737.5,737.2093,,,,,
1969Q2,48,,722.4,728.5714,732.2835,741.7323,747.6563,,,,,
1969Q2,49,,722.4,727.7778,725.0,726.3566,732.3077,,,,,
